Symbol,Time,Open,High,Low,Last,Change,Volume,Open Int
ESH20,1/2/2020 9:44,3239.25,3239.5,3239,3239,-0.25,1526,N/A
ESH20,1/2/2020 9:43,3239,3239.5,3238.75,3239.25,0.25,1498,N/A
ESH20,1/2/2020 9:42,3238.75,3239.25,3238.5,3239,0.5,2706,N/A
ESH20,1/2/2020 9:41,3237.75,3239,3237.75,3238.5,0.75,3504,N/A
ESH20,1/2/2020 9:40,3238,3238,3237,3237.75,0,3996,N/A
ESH20,1/2/2020 9:39,3237.5,3238.5,3237.25,3237.75,0.25,2472,N/A
ESH20,1/2/2020 9:38,3238,3238.5,3236.75,3237.5,-0.5,4609,N/A
ESH20,1/2/2020 9:37,3239.75,3239.75,3238,3238,-1.5,2612,N/A
ESH20,1/2/2020 9:36,3238.75,3239.75,3238.75,3239.5,0.75,1869,N/A
ESH20,1/2/2020 9:35,3240,3240,3238.75,3238.75,-1.25,2535,N/A
ESH20,1/2/2020 9:34,3239.75,3240.25,3239.25,3240,0.5,2663,N/A
ESH20,1/2/2020 9:33,3238.75,3239.75,3238,3239.5,0.75,3790,N/A
ESH20,1/2/2020 9:32,3238.5,3239.5,3237.75,3238.75,0.25,4578,N/A
ESH20,1/2/2020 9:31,3239.75,3239.75,3238.25,3238.5,-1.25,4219,N/A
ESH20,1/2/2020 9:30,3240.5,3240.75,3239,3239.75,-0.5,4667,N/A
ESH20,1/2/2020 9:29,3239.25,3240.5,3239.25,3240.25,1,4003,N/A
ESH20,1/2/2020 9:28,3238.75,3239.75,3238.5,3239.25,0.25,5822,N/A
ESH20,1/2/2020 9:27,3238.75,3239.75,3238.5,3239,0.25,6202,N/A
ESH20,1/2/2020 9:26,3237.75,3238.75,3237.5,3238.75,1,4286,N/A
ESH20,1/2/2020 9:25,3238.5,3238.5,3237,3237.75,-0.75,6872,N/A
ESH20,1/2/2020 9:24,3238.25,3238.75,3236.5,3238.5,0.25,8760,N/A
ESH20,1/2/2020 9:23,3238.75,3238.75,3236.5,3238.25,-0.75,7898,N/A
ESH20,1/2/2020 9:22,3239.75,3240,3238.75,3239,-1,3842,N/A
ESH20,1/2/2020 9:21,3239.25,3240,3238.75,3240,0.5,4426,N/A
ESH20,1/2/2020 9:20,3239.5,3239.75,3238.75,3239.5,-0.25,4920,N/A
ESH20,1/2/2020 9:19,3240.25,3240.75,3239.5,3239.75,-0.5,4805,N/A
ESH20,1/2/2020 9:18,3239.5,3240.5,3238.25,3240.25,0.5,5855,N/A
ESH20,1/2/2020 9:17,3238.5,3239.75,3237.5,3239.75,1,7027,N/A
ESH20,1/2/2020 9:16,3238.5,3240.25,3238.25,3238.75,0,12675,N/A
ESH20,1/2/2020 9:15,3241.75,3241.75,3237.75,3238.75,-3,13504,N/A
ESH20,1/2/2020 9:14,3242.5,3243.5,3241.5,3241.75,-1,6443,N/A
ESH20,1/2/2020 9:13,3244.75,3244.75,3242.25,3242.75,-2,9746,N/A
ESH20,1/2/2020 9:12,3244.5,3244.75,3243.75,3244.75,0,4551,N/A
ESH20,1/2/2020 9:11,3246.25,3246.25,3244.25,3244.75,-1.75,5148,N/A
