symbol,timestamp,tradingDay,open,high,low,close,volume
ESH20,2020-02-20T22:07:00-06:00,2/21/2020,3359,3359.5,3359,3359.5,43
ESH20,2020-02-20T22:08:00-06:00,2/21/2020,3359.5,3359.75,3359.5,3359.75,31
ESH20,2020-02-20T22:09:00-06:00,2/21/2020,3359.75,3359.75,3359.25,3359.75,61
ESH20,2020-02-20T22:10:00-06:00,2/21/2020,3359.75,3360.25,3359.75,3360,136
ESH20,2020-02-20T22:11:00-06:00,2/21/2020,3360.25,3360.25,3360,3360,169
ESH20,2020-02-20T22:12:00-06:00,2/21/2020,3359.75,3360,3359.75,3359.75,57
ESH20,2020-02-20T22:13:00-06:00,2/21/2020,3359.75,3360,3359.75,3360,10
ESH20,2020-02-20T22:14:00-06:00,2/21/2020,3360,3360,3359.5,3359.5,114
ESH20,2020-02-20T22:15:00-06:00,2/21/2020,3359.5,3359.75,3359.25,3359.75,84
ESH20,2020-02-20T22:16:00-06:00,2/21/2020,3359.5,3359.5,3359.25,3359.25,50
ESH20,2020-02-20T22:17:00-06:00,2/21/2020,3359.25,3359.5,3358.75,3359,209
ESH20,2020-02-20T22:18:00-06:00,2/21/2020,3358.75,3359.25,3358.75,3359.25,112
ESH20,2020-02-20T22:19:00-06:00,2/21/2020,3359.25,3359.5,3359.25,3359.5,62
ESH20,2020-02-20T22:20:00-06:00,2/21/2020,3359.25,3359.25,3359.25,3359.25,58
ESH20,2020-02-20T22:21:00-06:00,2/21/2020,3359,3359,3359,3359,31
ESH20,2020-02-20T22:22:00-06:00,2/21/2020,3358.75,3358.75,3358.5,3358.75,56
ESH20,2020-02-20T22:23:00-06:00,2/21/2020,3358.75,3358.75,3358.75,3358.75,59
ESH20,2020-02-20T22:24:00-06:00,2/21/2020,3358.75,3359,3358.75,3359,81
ESH20,2020-02-20T22:25:00-06:00,2/21/2020,3358.75,3359,3358.5,3358.5,260
ESH20,2020-02-20T22:26:00-06:00,2/21/2020,3358.25,3358.5,3358.25,3358.5,115
ESH20,2020-02-20T22:27:00-06:00,2/21/2020,3358.5,3358.5,3357,3357.25,551
ESH20,2020-02-20T22:28:00-06:00,2/21/2020,3357.5,3358,3357.5,3357.75,167
ESH20,2020-02-20T22:29:00-06:00,2/21/2020,3357.75,3357.75,3357.5,3357.5,80
ESH20,2020-02-20T22:30:00-06:00,2/21/2020,3357.5,3357.75,3357.5,3357.75,228
ESH20,2020-02-20T22:31:00-06:00,2/21/2020,3357.75,3357.75,3357,3357.25,198
ESH20,2020-02-20T22:32:00-06:00,2/21/2020,3357.25,3357.5,3357.25,3357.5,67
ESH20,2020-02-20T22:33:00-06:00,2/21/2020,3357.5,3357.5,3357.25,3357.5,131
ESH20,2020-02-20T22:34:00-06:00,2/21/2020,3357.5,3357.5,3357.5,3357.5,34
ESH20,2020-02-20T22:35:00-06:00,2/21/2020,3357.5,3357.75,3356.75,3357,203
ESH20,2020-02-20T22:36:00-06:00,2/21/2020,3357,3357,3356.75,3356.75,33
ESH20,2020-02-20T22:37:00-06:00,2/21/2020,3357,3357,3356.5,3356.5,169
ESH20,2020-02-20T22:38:00-06:00,2/21/2020,3356.5,3356.75,3356.25,3356.5,168
ESH20,2020-02-20T22:39:00-06:00,2/21/2020,3356.25,3356.5,3356,3356,380
ESH20,2020-02-20T22:40:00-06:00,2/21/2020,3356,3356.75,3356,3356.5,138
ESH20,2020-02-20T22:41:00-06:00,2/21/2020,3356.25,3356.75,3356.25,3356.5,221
ESH20,2020-02-20T22:42:00-06:00,2/21/2020,3356.5,3356.5,3355.75,3355.75,151
ESH20,2020-02-20T22:43:00-06:00,2/21/2020,3356,3356.5,3355.5,3356.25,530
ESH20,2020-02-20T22:44:00-06:00,2/21/2020,3356.25,3356.5,3355.75,3356.25,188
ESH20,2020-02-20T22:45:00-06:00,2/21/2020,3356.25,3356.5,3355.75,3356,205
ESH20,2020-02-20T22:46:00-06:00,2/21/2020,3356,3357,3356,3357,244
ESH20,2020-02-20T22:47:00-06:00,2/21/2020,3357,3357,3356.5,3356.5,66
ESH20,2020-02-20T22:48:00-06:00,2/21/2020,3356.5,3356.75,3356.5,3356.5,29
ESH20,2020-02-20T22:49:00-06:00,2/21/2020,3356.5,3356.75,3356.5,3356.75,22
ESH20,2020-02-20T22:50:00-06:00,2/21/2020,3356.5,3357,3356.5,3356.75,103
ESH20,2020-02-20T22:51:00-06:00,2/21/2020,3356.75,3356.75,3356.75,3356.75,14
ESH20,2020-02-20T22:52:00-06:00,2/21/2020,3356.5,3357,3356.5,3356.75,53
ESH20,2020-02-20T22:53:00-06:00,2/21/2020,3357,3357.25,3356.75,3357.25,246
ESH20,2020-02-20T22:54:00-06:00,2/21/2020,3357.25,3357.25,3357,3357.25,15
ESH20,2020-02-20T22:55:00-06:00,2/21/2020,3357.25,3357.25,3357,3357.25,65
ESH20,2020-02-20T22:56:00-06:00,2/21/2020,3357,3357.25,3357,3357.25,26
ESH20,2020-02-20T22:57:00-06:00,2/21/2020,3357.25,3357.5,3357.25,3357.5,265
ESH20,2020-02-20T22:58:00-06:00,2/21/2020,3357.75,3357.75,3357.5,3357.5,85
ESH20,2020-02-20T22:59:00-06:00,2/21/2020,3357.5,3357.5,3357,3357.25,145
ESH20,2020-02-20T23:00:00-06:00,2/21/2020,3357.5,3358.25,3357.25,3358,336
ESH20,2020-02-20T23:01:00-06:00,2/21/2020,3358,3358.25,3358,3358.25,257
ESH20,2020-02-20T23:02:00-06:00,2/21/2020,3358,3358.25,3357.75,3358.25,199
ESH20,2020-02-20T23:03:00-06:00,2/21/2020,3358.25,3358.75,3358,3358.25,163
ESH20,2020-02-20T23:04:00-06:00,2/21/2020,3358.25,3358.25,3356.75,3356.75,327
ESH20,2020-02-20T23:05:00-06:00,2/21/2020,3356.75,3357,3356.75,3356.75,122
ESH20,2020-02-20T23:06:00-06:00,2/21/2020,3357,3357.25,3356.75,3357,38
ESH20,2020-02-20T23:07:00-06:00,2/21/2020,3357,3357.25,3357,3357.25,57
ESH20,2020-02-20T23:08:00-06:00,2/21/2020,3357.25,3357.25,3357,3357,27
ESH20,2020-02-20T23:09:00-06:00,2/21/2020,3357,3357,3356.5,3356.5,85
ESH20,2020-02-20T23:10:00-06:00,2/21/2020,3356.25,3357.5,3356.25,3357.25,140
ESH20,2020-02-20T23:11:00-06:00,2/21/2020,3357,3358,3357,3358,241
ESH20,2020-02-20T23:12:00-06:00,2/21/2020,3358,3358.5,3358,3358.25,178
ESH20,2020-02-20T23:13:00-06:00,2/21/2020,3358.25,3358.5,3358.25,3358.5,67
ESH20,2020-02-20T23:14:00-06:00,2/21/2020,3358.75,3358.75,3357.5,3357.5,167
ESH20,2020-02-20T23:15:00-06:00,2/21/2020,3357.5,3357.75,3357.25,3357.25,45
ESH20,2020-02-20T23:16:00-06:00,2/21/2020,3357.25,3357.25,3357,3357.25,150
ESH20,2020-02-20T23:17:00-06:00,2/21/2020,3357.25,3357.5,3357.25,3357.25,39
ESH20,2020-02-20T23:18:00-06:00,2/21/2020,3357.25,3357.5,3357.25,3357.25,61
ESH20,2020-02-20T23:19:00-06:00,2/21/2020,3357,3357.5,3357,3357.5,81
ESH20,2020-02-20T23:20:00-06:00,2/21/2020,3357.25,3357.75,3357.25,3357.75,50
ESH20,2020-02-20T23:21:00-06:00,2/21/2020,3357.75,3357.75,3356.75,3357,103
ESH20,2020-02-20T23:22:00-06:00,2/21/2020,3357,3357,3356.75,3357,60
ESH20,2020-02-20T23:23:00-06:00,2/21/2020,3357,3357,3357,3357,103
ESH20,2020-02-20T23:24:00-06:00,2/21/2020,3357,3357,3356,3356,232
ESH20,2020-02-20T23:25:00-06:00,2/21/2020,3356,3356.5,3356,3356.25,162
ESH20,2020-02-20T23:26:00-06:00,2/21/2020,3356.5,3356.75,3356.25,3356.5,117
ESH20,2020-02-20T23:27:00-06:00,2/21/2020,3356.75,3356.75,3355.75,3355.75,142
ESH20,2020-02-20T23:28:00-06:00,2/21/2020,3356,3356,3354.5,3355,1081
ESH20,2020-02-20T23:29:00-06:00,2/21/2020,3355,3355,3354.5,3354.75,363
